id,freq_id
979861,6
98564,6
544664,6
251203,6
808645,6
427400,6
501179,6
670916,6
253290,6
336399,6
374905,6
992431,6
363597,6
992263,5
115386,5
776726,5
824030,5
944238,5
388386,5
674186,5
930443,5
712370,5
177480,5
292688,5
815740,5
419553,5
649606,5
212100,5
95110,5
740759,5
271822,5
318157,5
484289,5
485672,5
169644,5
814668,5
973100,5
431878,5
281885,5
989738,5
588692,5
548519,5
298406,5
565277,5
926002,5
879566,5
666229,5
826091,5
131299,5
248091,5
708630,5
882357,5
923204,5
583125,5
847628,5
824123,5
605561,5
875559,5
629698,5
92205,5
686254,5
612704,5
71385,5
150608,5
349206,5
610047,5
993989,5
76038,5
426233,5
942539,5
92728,5
333185,5
974750,5
77369,5
662559,5
116258,5
596844,5
778261,5
13748,5
930013,5
884925,5
989723,5
398107,5
579979,5
5618,5
500188,5
215012,5
245420,5
87491,5
702883,5
798307,5
400774,5
96603,5
669561,5
542865,5
624692,5
166297,5
878451,5
972490,5
436650,5
753469,5
35496,5
605861,5
286785,5
461240,5
794687,5
834746,5
276980,5
530356,5
526899,5
723725,5
448628,5
26743,5
481036,5
862883,5
781605,5
470717,5
778287,5
604268,5
348540,5
41590,5
50005,5
302364,5
633044,5
222081,5
966983,5
493844,5
361652,5
66935,5
946277,5
520580,5
863039,5
685646,5
892154,5
528136,5
121419,5
455460,5
415866,5
71720,5
927109,5
180674,5
977206,5
46541,5
681273,5
884162,5
988561,5
254573,5
905278,5
635162,5
265323,5
220718,5
810466,5
842315,5
350267,5
638804,5
876050,5
229689,5
198736,5
659407,5
790131,5
507423,5
671258,5
709032,5
339430,5
691516,5
500030,5
704527,5
253358,5
573628,5
408756,5
428434,5
633329,5
916328,5
965404,5
73306,5
805929,5
813571,5
501228,5
867786,5
583143,5
511926,5
464110,5
775864,5
76697,5
433126,5
718273,5
711114,5
155245,4
320516,4
165006,4
91761,4
454651,4
288138,4
807733,4
164927,4
392806,4
621166,4
175663,4
265080,4
175633,4
743234,4
56825,4
201263,4
733396,4
266060,4
392533,4
55130,4
34016,4
332566,4
283668,4
103333,4
243553,4
186454,4
655799,4
454628,4
636589,4
307343,4
176566,4
980537,4
5941,4
636181,4
576923,4
307292,4
529441,4
34024,4
717380,4
683320,4
600151,4
744378,4
664786,4
510803,4
454885,4
421555,4
776347,4
137961,4
572756,4
204251,4
843192,4
534480,4
824797,4
764501,4
492569,4
572225,4
24682,4
607012,4
744647,4
605380,4
949404,4
618655,4
360503,4
572801,4
636068,4
100201,4
655780,4
345498,4
922899,4
81839,4
272018,4
845934,4
915976,4
334222,4
662854,4
49292,4
698871,4
900404,4
966679,4
235406,4
320670,4
56970,4
347306,4
383463,4
156432,4
51956,4
461291,4
400313,4
217625,4
224096,4
764638,4
320705,4
941460,4
87356,4
15059,4
555932,4
550763,4
42984,4
25547,4
949850,4
446185,4
845758,4
690904,4
743600,4
436248,4
894979,4
988086,4
530467,4
865070,4
791726,4
686854,4
556452,4
776131,4
488131,4
610808,4
957153,4
194904,4
307838,4
717550,4
114601,4
873099,4
25191,4
520225,4
614321,4
856627,4
995259,4
204521,4
953238,4
95831,4
763708,4
843400,4
359562,4
561709,4
743669,4
91541,4
602426,4
194964,4
449854,4
223545,4
889583,4
657386,4
670303,4
319737,4
265420,4
734157,4
392597,4
165277,4
333809,4
590457,4
6527,4
218096,4
523456,4
937289,4
905844,4
592163,4
980203,4
271871,4
754419,4
185915,4
880373,4
176107,4
561859,4
572375,4
432887,4
706407,4
223424,4
880778,4
550558,4
345887,4
320225,4
137448,4
906071,4
274215,4
880803,4
165139,4
530418,4
250928,4
880804,4
693066,4
412360,4
333196,4
813834,4
701000,4
772878,4
690902,4
786364,4
242965,4
34925,4
843317,4
880153,4
229166,4
390113,4
988405,4
929541,4
538348,4
495864,4
155564,4
717751,4
510884,4
441316,4
320069,4
223476,4
81227,4
662795,4
776255,4
796684,4
345998,4
561664,4
436333,4
581367,4
472870,4
291976,4
483545,4
980423,4
49119,4
501487,4
744049,4
964418,4
417018,4
973534,4
429780,4
395163,4
308423,4
390083,4
624725,4
280615,4
717123,4
198540,4
603116,4
94936,4
267279,4
532980,4
92305,4
918784,4
910082,4
358011,4
944798,4
573307,4
603083,4
474142,4
573304,4
374033,4
963920,4
384810,4
795392,4
500412,4
783781,4
109259,4
497530,4
167672,4
228206,4
224765,4
146066,4
94897,4
582366,4
174121,4
766327,4
928884,4
731420,4
63637,4
438877,4
407099,4
17401,4
23445,4
950650,4
91901,4
871824,4
198493,4
274546,4
783582,4
368740,4
950536,4
4302,4
682959,4
910137,4
236166,4
478641,4
167178,4
795621,4
599692,4
188001,4
86805,4
305213,4
288417,4
882210,4
394840,4
389345,4
855586,4
950628,4
94979,4
224622,4
167398,4
432357,4
765997,4
205243,4
716457,4
825273,4
604815,4
919382,4
745715,4
